purchaseorder,po_itemnumber,purchaserequisition,pr_itemnumber,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_incoterms1,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_paymentterms,po_paymenttermsdesc,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_deliverydate,po_unitofmeasure,po_orderpriceunit,po_orderquantity,po_priceunit,po_netprice,po_currency,po_netordervalue,po_netamount,po_deliveredqty,po_deliveredqtyvalue,po_pendingdeliveryqty,po_pendingdeliveryvalue,po_deliverycompleteindicator,po_paymentstatus,po_advancepayment,po_paymentdate,po_headerstatus,po_itemstatus,pr_documenttype,pr_creationdate,pr_createdby_name,pr_approvalstatuscode,pr_approvalstatus,pr_approveddate,pr_processingstatuscode,pr_processingstatus,pr_companycode,pr_companycodedesc,pr_plant,pr_plantdesc,pr_orderqty,pr_unitofmeasure,pr_closedindicator,pr_deletionindicator,recordskipindicator,lastchangedatetime
null,00000,2000126540,00010,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074035,"SAFETY SHOES, LABOUR, SIZE: 40",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230815,Abel Khan,X,Approved,20230819,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,PAA,null,null,null,null
null,00000,2000134826,00230,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074045,"SAFETY SHOES, SIZE: 42 FOR STAFF",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,PAA,null,null,null,null
null,00000,2000126351,00290,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000206,MOUSE PAD,G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000126351,00300,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000158,"PAPER CLIP HOLDER, MAGNETIC TYPE",G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000126351,00360,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000159,"PAPER TRAY, 3-LAYER, METAL MESH",G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000126351,00370,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000153,"PEN HOLDER, ROUND MESH TYPE",G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000126351,00430,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000194,"PACKING TAPE, CLEAR 2",G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000126351,00500,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000136,"STAPLER PIN REMOVER, KANGARO",G121130,Stationery Expenses,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230815,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000134826,00250,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074047,"SAFETY SHOES, SIZE: 44 FOR STAFF",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Ada Abua,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,PAA,null,null,null,null
null,00000,2000126263,00240,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000024466,DUST BIN BLACK IRON MESH,G111190,House Keeping Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,NO,null,null,null,null
null,00000,2000135213,00010,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231004,Abel Khan,null,Rejected,20231005,N,N-Not edited,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,4,MON,null,null,null,null
null,00000,2000126263,00130,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000796,FLOOR MOP WITH HANDLE,G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,4,NO,null,null,null,null
null,00000,2000126263,00030,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000738,"AUTOMATIC AIR FRESHENER, BATTERY OPERATE",G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,6,NO,null,null,null,null
null,00000,2000134826,00110,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000021951,DISPOSABLE COVERALL,G131290,Coverall,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,NO,null,null,null,null
null,00000,2000134826,00160,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074034,"SAFETY SHOES, LABOUR, SIZE: 39",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,PAA,null,null,null,null
